,cluster1vs2,cluster1vs3,cluster1vs4,cluster2vs3,cluster2vs4,cluster3vs4
1,1.88E-15,None,0.02419892,6.56E-11,0.000687805,0.076306671
2,0.054003661,1.32E-14,0.006663467,None,0.019169301,0.860243068
3,1.43E-08,2.33E-15,0.00157481,0.068018103,0.129904871,0.418237116
4,0.000797631,0.547187965,None,None,0.070627628,1
5,1.60E-11,0.000304472,0.035721943,0.026983207,0.220895112,None
6,None,None,None,None,None,None
7,0.002998699,2.59E-09,0.300321532,3.06E-05,0.005455023,1.07E-08
8,1.89E-05,0.31643935,0.720394334,8.45E-05,2.58E-05,None
9,5.12E-06,2.49E-07,0.012326203,0.764889348,0.297422879,0.354665987
10,1.31E-09,0.049672849,0.754344163,0.002976837,0.001710152,0.115697285
11,1.67E-12,0.045607568,0.00436334,0.003470515,6.02E-07,0.636492446
12,None,3.72E-08,0.024714491,0.009361328,0.12605459,0.716326356
13,0.001586078,1.33E-08,0.167979815,0.000430556,0.577106844,None
14,0.536257513,0.000351251,0.135664283,0.010565672,0.237978631,0.800095403
15,0.521720061,0.034024078,0.930245291,0.251408836,0.646328967,0.112817774
16,0.546820144,0.586809847,0.000664231,0.835541116,0.000610826,0.000679369
